ID;Island;Algal_turf;Macroalgae;Enc_calcar;Sponges;Milleporids;Mass_corals;Zoanthids;Octocorals;Ascidians;Polychaeta;Crinoids;Urchin;Mollusc_shells;Bryozoa;Hydrozoa;Anthozoa;NI
ID193;RAS;3.3;0;53.3;6.7;0;0;30;6.7;0;0;0;0;0;0;0;0;0
ID193;RAS;10;53.3;30;0;0;0;0;6.7;0;0;0;0;0;0;0;0;0
ID193;RAS;13.3;26.7;23.3;16.7;0;0;13.3;3.3;0;3.3;0;0;0;0;0;0;0
ID193;RAS;13.3;53.3;16.7;0;10;0;0;6.7;0;0;0;0;0;0;0;0;0
ID266;TRE;10;50;6.7;0;0;0;0;30;3.3;0;0;0;0;0;0;0;0
ID266;TRE;6.7;53.3;0;0;0;0;0;33.3;0;0;6.7;0;0;0;0;0;0
ID266;TRE;6.7;20;53.3;13.3;0;0;0;6.7;0;0;0;0;0;0;0;0;0
ID266;TRE;40;30;10;0;0;0;0;20;0;0;0;0;0;0;0;0;0
ID267;TRE;0;53.3;23.3;0;0;0;0;23.3;0;0;0;0;0;0;0;0;0
ID267;TRE;16.7;23.3;6.7;3.3;0;0;0;46.7;0;0;0;0;0;0;0;0;3.3
ID267;TRE;13.3;56.7;20;0;0;0;0;3.3;0;0;0;0;0;0;0;0;6.7
ID267;TRE;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
ID268;TRE;6.7;0;33.3;0;0;0;50;0;0;0;0;0;0;0;0;0;10
ID268;TRE;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID268;TRE;0;43.3;26.7;0;0;0;0;30;0;0;0;0;0;0;0;0;0
ID268;TRE;0;63.3;16.7;0;0;0;0;6.7;0;0;13.3;0;0;0;0;0;0
ID277;ESC;0;10;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID277;ESC;20;0;6.7;0;40;13.3;0;0;0;0;0;10;10;0;0;0;0
ID277;ESC;10;0;3.3;0;36.7;16.7;0;0;0;0;0;6.7;26.7;0;0;0;0
ID277;ESC;0;3.3;33.3;0;0;3.3;0;16.7;0;0;0;0;43.3;0;0;0;0
ID278;ESC;70;0;26.7;0;0;0;0;0;3.3;0;0;0;0;0;0;0;0
ID278;ESC;46.7;10;23.3;0;0;0;0;20;0;0;0;0;0;0;0;0;0
ID278;ESC;30;20;30;0;0;0;0;0;20;0;0;0;0;0;0;0;0
ID278;ESC;10;0;86.7;0;0;0;0;0;0;0;0;3.3;0;0;0;0;0
ID279;ESC;86.7;6.7;0;0;0;0;0;6.7;0;0;0;0;0;0;0;0;0
ID279;ESC;0;0;0;0;0;3.3;0;0;0;0;0;0;96.7;0;0;0;0
ID279;ESC;30;6.7;16.7;0;0;0;0;30;3.3;0;0;0;13.3;0;0;0;0
ID279;ESC;90;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID319;ESC;50;6.7;16.7;3.3;0;0;0;23.3;0;0;0;0;0;0;0;0;0
