Scientific_name;Species;Family;Trophic group;Group;Island;Mean;SE;SD;n
Ogcocephalus vespertilio;OGCVES;Ogcocephalidae;Carnivore;CA;TRE;NA;NA;NA;48
Myrichthys ocellatus;MYROCE;Ophichthidae;Mob.Invert.;MI;ESC;NA;NA;NA;49
Myrichthys ocellatus;MYROCE;Ophichthidae;Mob.Invert.;MI;TRE;0.01;0.01;0.08;49
Acanthostracion polygonius;ACAPOL;Ostraciidae;Omnivore;OM;ESC;0.07;0.04;0.3;50
Acanthostracion polygonius;ACAPOL;Ostraciidae;Omnivore;OM;TRE;NA;NA;NA;50
Acanthostracion quadricornis;ACAQUA;Ostraciidae;Omnivore;OM;ESC;0.02;0.02;0.15;51
Acanthostracion quadricornis;ACAQUA;Ostraciidae;Omnivore;OM;TRE;NA;NA;NA;51
Holacanthus ciliaris;HOLCIL;Pomacanthidae;SessileInvert.;SI;ESC;0.2;0.07;0.52;52
Holacanthus ciliaris;HOLCIL;Pomacanthidae;SessileInvert.;SI;TRE;0.11;0.04;0.34;52
Holacanthus tricolor;HOLTRI;Pomacanthidae;SessileInvert.;SI;ESC;0.69;0.11;0.82;53
Holacanthus tricolor;HOLTRI;Pomacanthidae;SessileInvert.;SI;TRE;0.06;0.03;0.25;53
Pomacanthus arcuatus;POMARC;Pomacanthidae;Omnivore;OM;ESC;0.01;0.02;0.15;54
Pomacanthus arcuatus;POMARC;Pomacanthidae;Omnivore;OM;TRE;NA;NA;NA;54
Pomacanthus paru;POMPAR;Pomacanthidae;Omnivore;OM;ESC;0.31;0.08;0.59;55
Pomacanthus paru;POMPAR;Pomacanthidae;Omnivore;OM;TRE;0.07;0.03;0.25;55
Abudefduf saxatilis;ABUSAX;Pomacentridae;Omnivore;OM;ESC;3.44;1.08;8.01;56
Abudefduf saxatilis;ABUSAX;Pomacentridae;Omnivore;OM;TRE;1.28;0.33;2.8;56
Chromis flavicauda;CHRFLAV;Pomacentridae;Planktivore;PL;ESC;0.02;0.02;0.15;57
Chromis flavicauda;CHRFLAV;Pomacentridae;Planktivore;PL;TRE;NA;NA;NA;57
Chromis jubauna;CHRJUB;Pomacentridae;Planktivore;PL;ESC;NA;NA;NA;58
Chromis jubauna;CHRJUB;Pomacentridae;Planktivore;PL;TRE;0.01;0.01;0.08;58
Chromis multilineata;AZUMUL;Pomacentridae;Planktivore;PL;ESC;5.24;1.53;11.35;59
Chromis multilineata;AZUMUL;Pomacentridae;Planktivore;PL;TRE;0.76;0.27;2.29;59
Stegastes fuscus;STEFUS;Pomacentridae;Ter.Herbiv.;TH;ESC;0.29;0.1;0.74;60
Stegastes fuscus;STEFUS;Pomacentridae;Ter.Herbiv.;TH;TRE;2.68;0.52;4.41;60
Stegastes pictus;STEPIC;Pomacentridae;Ter.Herbiv.;TH;ESC;2.95;0.59;4.38;61
Stegastes pictus;STEPIC;Pomacentridae;Ter.Herbiv.;TH;TRE;0.28;0.07;0.59;61
Stegastes variabilis;STEVAR;Pomacentridae;Ter.Herbiv.;TH;ESC;0.09;0.06;0.44;62
Stegastes variabilis;STEVAR;Pomacentridae;Ter.Herbiv.;TH;TRE;0.46;0.09;0.76;62
Heteropriacanthus cruentatus;HETCRU;Priacanthidae;Mob.Invert.;MI;ESC;NA;NA;NA;63
Heteropriacanthus cruentatus;HETCRU;Priacanthidae;Mob.Invert.;MI;TRE;0.01;0.01;0.08;63
Cryptotomus roseus;CRYROS;Labridae;Rov.Herbiv.;RH;ESC;0.53;0.37;2.74;64
Cryptotomus roseus;CRYROS;Labridae;Rov.Herbiv.;RH;TRE;NA;NA;NA;64
Scarus zelindae;SCAZEL;Labridae;Rov.Herbiv.;RH;ESC;NA;NA;NA;65
Scarus zelindae;SCAZEL;Labridae;Rov.Herbiv.;RH;TRE;0.01;0.01;0.08;65
Sparisoma tuiupiranga;SPATUI;Labridae;Rov.Herbiv.;RH;ESC;0.05;0.03;0.22;66
Sparisoma tuiupiranga;SPATUI;Labridae;Rov.Herbiv.;RH;TRE;NA;NA;NA;66
Sparisoma axillare;SPAAXI;Labridae;Rov.Herbiv.;RH;ESC;0.33;0.1;0.74;67
Sparisoma axillare;SPAAXI;Labridae;Rov.Herbiv.;RH;TRE;0.18;0.07;0.59;67
Sparisoma frondosum;SPAFRO;Labridae;Rov.Herbiv.;RH;ESC;0.24;0.09;0.67;68
Sparisoma frondosum;SPAFRO;Labridae;Rov.Herbiv.;RH;TRE;0.39;0.1;0.85;68
Sparisoma radians;SPARAD;Labridae;Rov.Herbiv.;RH;ESC;0.09;0.05;0.37;69
Sparisoma radians;SPARAD;Labridae;Rov.Herbiv.;RH;TRE;0.11;0.06;0.51;69
Sparisoma spp. (juv.);SPASPP;Labridae;Rov.Herbiv.;RH;ESC;0.47;0.28;2.08;70
Sparisoma spp. (juv.);SPASPP;Labridae;Rov.Herbiv.;RH;TRE;0.5;0.12;1.02;70
Odontoscion dentex;ODODEN;Sciaenidae;Carnivore;CA;ESC;0.11;0.06;0.44;71
Odontoscion dentex;ODODEN;Sciaenidae;Carnivore;CA;TRE;0.58;0.26;2.21;71
Pareques lineatus;PARLIN;Sciaenidae;Mob.Invert.;MI;ESC;0.47;0.24;1.78;72
Pareques lineatus;PARLIN;Sciaenidae;Mob.Invert.;MI;TRE;0.19;0.05;0.42;72
Scorpaena brasiliensis;SCOBRA;Scorpaenidae;Carnivore;CA;ESC;NA;NA;NA;73
Scorpaena brasiliensis;SCOBRA;Scorpaenidae;Carnivore;CA;TRE;0.01;0.01;0.08;73
 Scorpaena plumieri;SCOPLU;Scorpaenidae;Carnivore;CA;ESC;0.18;0.06;0.44;74
 Scorpaena plumieri;SCOPLU;Scorpaenidae;Carnivore;CA;TRE;0.11;0.04;0.34;74
Alphestes afer;ALPAFE;Serranidae;Carnivore;CA;ESC;0.11;0.07;0.52;75
Alphestes afer;ALPAFE;Serranidae;Carnivore;CA;TRE;0.07;0.04;0.34;75
Cephalopholis fulva;CEPFUL;Serranidae;Carnivore;CA;ESC;0.56;0.13;0.96;76
Cephalopholis fulva;CEPFUL;Serranidae;Carnivore;CA;TRE;0.06;0.03;0.25;76
Dermatolepis inermis;DERINE;Serranidae;Carnivore;CA;ESC;0.04;0.03;0.22;77
Dermatolepis inermis;DERINE;Serranidae;Carnivore;CA;TRE;NA;NA;NA;77
Diplectrum radiale;DIPRAD;Serranidae;Carnivore;CA;ESC;NA;NA;NA;78
Diplectrum radiale;DIPRAD;Serranidae;Carnivore;CA;TRE;0.07;0.04;0.34;78
Mycteroperca acutirostris;MYCACU;Serranidae;Piscivore;PI;ESC;NA;NA;NA;79
Mycteroperca acutirostris;MYCACU;Serranidae;Piscivore;PI;TRE;0.01;0.01;0.08;79
Mycteroperca interstitialis;MYCINT;Serranidae;Piscivore;PI;ESC;NA;NA;NA;80
Mycteroperca interstitialis;MYCINT;Serranidae;Piscivore;PI;TRE;0.03;0.02;0.17;80
Paranthias furcifer;PARFUR;Serranidae;Planktivore;PL;ESC;0.02;0.02;0.15;81
Paranthias furcifer;PARFUR;Serranidae;Planktivore;PL;TRE;NA;NA;NA;81
Rypticus saponaceus;RYPSAP;Serranidae;Carnivore;CA;ESC;0.22;0.06;0.44;82
Rypticus saponaceus;RYPSAP;Serranidae;Carnivore;CA;TRE;0.07;0.04;0.34;82
Serranus baldwini;SERBAL;Serranidae;Mob.Invert.;MI;ESC;0.05;0.03;0.22;83
Serranus baldwini;SERBAL;Serranidae;Mob.Invert.;MI;TRE;0.06;0.03;0.25;83
Serranus flaviventris;SERFLA;Serranidae;Mob.Invert.;MI;ESC;NA;NA;NA;84
Serranus flaviventris;SERFLA;Serranidae;Mob.Invert.;MI;TRE;0.46;0.12;1.02;84
Diplodus argenteus;DIPARG;Sparidae;Omnivore;OM;ESC;14.93;4.49;33.3;85
Diplodus argenteus;DIPARG;Sparidae;Omnivore;OM;TRE;0.14;0.07;0.59;85
Synodus intermedius;SYNINT;Synodontidae;Piscivore;PI;ESC;0.07;0.04;0.3;86
Synodus intermedius;SYNINT;Synodontidae;Piscivore;PI;TRE;0.08;0.03;0.25;86
Synodus synodus;SYNSYN;Synodontidae;Piscivore;PI;ESC;0.15;0.05;0.37;87
Synodus synodus;SYNSYN;Synodontidae;Piscivore;PI;TRE;0.03;0.02;0.17;87
Canthigaster figueiredoi;CANFIG;Tetraodontidae;SessileInvert.;SI;ESC;0.73;0.13;0.96;88
Canthigaster figueiredoi;CANFIG;Tetraodontidae;SessileInvert.;SI;TRE;0.19;0.05;0.42;88
Sphoeroides spengleri;SPHSPE;Tetraodontidae;Mob.Invert.;MI;ESC;0.25;0.07;0.52;89
Sphoeroides spengleri;SPHSPE;Tetraodontidae;Mob.Invert.;MI;TRE;0.28;0.07;0.59;89
