Scientific_name;Species;Family;Group;IUCN;ICMBio;INMA;Genus;spp
Corypophterus thrix;CORTHR;Gobiidae;MI;NE;NE;NE;Corypophterus;thrix
Ctenogobius saepepallens ;CTESAE;Gobiidae;MI;LC;LC;NE;Ctenogobius;saepepallens
Elacatinus figaro;ELAFIG;Gobiidae;MI;VU;VU;VU;Elacatinus;figaro
Rypticus saponaceus;RYPSAP;Gramistidae;CA;LC;LC;NE;Rypticus;saponaceus
Gramma brasiliensis;GRABRA;Grammatidae;MI-PL;NE;NT;VU;Gramma;brasiliensis
Fistularia sp.;FISSPP;Fistulariidae;PI;-;-;-;Fistularia;NA
Anisotremus surinamensis;ANISUR;Haemulidae;MI;DD;DD;DD;Anisotremus;surinamensis
Anisotremus virginicus;ANIVIR;Haemulidae;MI;LC;LC;NE;Anisotremus;virginicus
Haemulon atlanticus;HAEATL;Haemulidae;MI-PL;LC;LC;NE;Haemulon;atlanticus
Haemulon aurolineatum;HAEAUR;Haemulidae;MI-PL;LC;LC;NE;Haemulon;aurolineatum
Haemulon parra;HAEPAR;Haemulidae;MI-PL;LC;LC;NE;Haemulon;parra
Haemulon plumieri;HAEPLU;Haemulidae;MI-PL;LC;DD;NE;Haemulon;plumieri
Orthopristis ruber;ORTRUB;Haemulidae;MI;LC;LC;DD;Orthopristis;ruber
Paranisostremus moricandi;PARMOR;Haemulidae;MI;LC;LC;NE;Paranisostremus;moricandi
Holocentrus adscensionis;HOLADS;Holocentridae;MI;LC;LC;NE;Holocentrus;adscensionis
Myripristis jacobus;MYRJAC;Holocentridae;PL;LC;LC;DD;Myripristis;jacobus
Kyphosus spp.;KYPSPP;Kyphosidae;RH;-;-;-;Kyphosus;NA
Bodianus pulchellus;BODPUL;Labridae;MI;LC;LC;DD;Bodianus;pulchellus
Bodianus rufus;BODRUF;Labridae;MI;LC;LC;DD;Bodianus;rufus
Clepticus brasiliensis;CLEBRA;Labridae;PL;LC;LC;NE;Clepticus;brasiliensis
Cryptotomus roseus;CRYROS;Labridae;RH;LC;LC;DD;Cryptotomus;roseus
